rf,ratio,metric,samples,value_avg_mean,value_avg_std,value_max_mean,value_max_std
3,100:0,exec.latency-p90,3,147737765.25985083,0.0,147737765.25985083,0.0
3,100:0,exec.latency-p99,3,350708441.23311967,45432829.437376395,350708441.23311967,45432829.437376395
3,100:0,sql.delete.count,3,0.0,0.0,0.0,0.0
3,100:0,sql.insert.count,3,4274.333333333333,3203.7862496323523,4274.333333333333,3203.7862496323523
3,100:0,sql.select.count,3,14170.388888888889,12046.805184286337,14841.0,12037.112735203571
3,100:0,sql.service.latency-p90,3,235983346.67821893,0.0,235983346.67821893,0.0
3,100:0,sql.service.latency-p99,3,623425537.1259748,76177606.67278346,655042855.7377363,91717990.32578735
3,100:0,sql.update.count,3,0.0,0.0,0.0,0.0
3,100:0,sys.rss,3,551549155.5555556,25450158.89741546,557137920.0,25043805.525252905
3,50:50,exec.latency-p90,3,160731213.21629775,22505312.026068076,160731213.21629775,22505312.026068076
3,50:50,exec.latency-p99,3,350708441.23311967,45432829.437376395,350708441.23311967,45432829.437376395
3,50:50,sql.delete.count,3,0.0,0.0,0.0,0.0
3,50:50,sql.insert.count,3,4462.666666666667,3629.765981896537,4753.0,3629.0016533476532
3,50:50,sql.select.count,3,14990.944444444443,13601.90336388148,15284.333333333334,13586.821789268208
3,50:50,sql.service.latency-p90,3,235983346.67821893,0.0,235983346.67821893,0.0
3,50:50,sql.service.latency-p99,3,648545898.1902118,80464929.7588568,721967923.260839,207635607.575779
3,50:50,sql.update.count,3,0.0,0.0,0.0,0.0
3,50:50,sys.rss,3,549294307.5555555,26892785.66233541,552685568.0,29888181.93815288
3,80:20,exec.latency-p90,3,147737765.25985083,0.0,147737765.25985083,0.0
3,80:20,exec.latency-p99,3,324477784.92740405,45432829.4373764,324477784.92740405,45432829.4373764
3,80:20,sql.delete.count,3,0.0,0.0,0.0,0.0
3,80:20,sql.insert.count,3,5125.444444444444,2681.6761204170084,5264.333333333333,2676.993151529031
3,80:20,sql.select.count,3,16708.166666666668,10935.44104175857,17239.666666666668,10951.464300874715
3,80:20,sql.service.latency-p90,3,235983346.67821893,0.0,235983346.67821893,0.0
3,80:20,sql.service.latency-p99,3,595106357.7617515,12095069.396367371,602089449.3336115,0.0
3,80:20,sql.update.count,3,0.0,0.0,0.0,0.0
3,80:20,sys.rss,3,554491221.3333334,24093593.742917884,558383104.0,24478767.612419706
5,100:0,exec.latency-p90,3,147737765.25985083,0.0,147737765.25985083,0.0
5,100:0,exec.latency-p99,3,324477784.92740405,45432829.4373764,324477784.92740405,45432829.4373764
5,100:0,sql.delete.count,3,0.0,0.0,0.0,0.0
5,100:0,sql.insert.count,3,4621.666666666667,1583.7393514506523,4621.666666666667,1583.7393514506523
5,100:0,sql.select.count,3,15730.944444444445,7155.562968638329,16383.0,7155.738186937809
5,100:0,sql.service.latency-p90,3,235983346.67821893,0.0,235983346.67821893,0.0
5,100:0,sql.service.latency-p99,3,602089449.3336115,0.0,602089449.3336115,0.0
5,100:0,sql.update.count,3,0.0,0.0,0.0,0.0
5,100:0,sys.rss,3,548579555.5555556,14182416.69835089,553982634.6666666,20440347.69577519
5,50:50,exec.latency-p90,3,149903339.91925865,3750885.3376780273,160731213.21629775,22505312.026068076
5,50:50,exec.latency-p99,3,364452294.9973979,60929085.441911235,478711964.9021699,247571600.7776643
5,50:50,sql.delete.count,3,0.0,0.0,0.0,0.0
5,50:50,sql.insert.count,3,4234.0,2144.996587668874,4539.666666666667,2149.18620257374
5,50:50,sql.select.count,3,14138.22222222222,9663.67154365791,14444.666666666666,9674.985133494176
5,50:50,sql.service.latency-p90,3,235983346.67821893,0.0,235983346.67821893,0.0
5,50:50,sql.service.latency-p99,3,628566152.535674,45858995.16289373,655042855.7377363,91717990.32578735
5,50:50,sql.update.count,3,0.0,0.0,0.0,0.0
5,50:50,sys.rss,3,546594588.4444445,13506340.815698247,551611050.6666666,14519290.090038074
5,80:20,exec.latency-p90,3,160731213.21629775,22505312.026068076,160731213.21629775,22505312.026068076
5,80:20,exec.latency-p99,3,356233702.5387473,50897163.173341,383860009.06688553,89274763.99142967
5,80:20,sql.delete.count,3,0.0,0.0,0.0,0.0
5,80:20,sql.insert.count,3,3963.8333333333335,2569.0501216943544,4093.3333333333335,2571.8107110231367
5,80:20,sql.select.count,3,13954.166666666666,10361.341085174898,14476.0,10364.244738522919
5,80:20,sql.service.latency-p90,3,246360643.66879717,17974005.632913146,256737940.65937543,35948011.265826285
5,80:20,sql.service.latency-p99,3,797021926.67479,337632954.8001901,1219310001.7690113,1069057356.2938428
5,80:20,sql.update.count,3,0.0,0.0,0.0,0.0
5,80:20,sys.rss,3,540829240.888889,15795417.302381856,543107754.6666666,15523597.011994539
7,100:0,exec.latency-p90,3,156400063.89748213,15003541.350712044,160731213.21629775,22505312.02606808
7,100:0,exec.latency-p99,3,324477784.92740405,45432829.4373764,324477784.92740405,45432829.4373764
7,100:0,sql.delete.count,3,0.0,0.0,0.0,0.0
7,100:0,sql.insert.count,3,4401.0,1619.2612513118443,4401.0,1619.2612513118443
7,100:0,sql.select.count,3,14451.055555555555,7239.860937763109,15124.666666666666,7246.059917868009
7,100:0,sql.service.latency-p90,3,235983346.67821893,0.0,235983346.67821893,0.0
7,100:0,sql.service.latency-p99,3,610915017.0676323,15286331.720964639,655042855.7377363,91717990.32578735
7,100:0,sql.update.count,3,0.0,0.0,0.0,0.0
7,100:0,sys.rss,3,546918172.4444445,7935435.740035811,551972864.0,12745624.628808742
7,50:50,exec.latency-p90,3,167227937.19452122,19490171.93467039,173724661.17274466,22505312.02606808
7,50:50,exec.latency-p99,3,410090665.3726012,57420199.83864864,410090665.3726012,57420199.83864864
7,50:50,sql.delete.count,3,0.0,0.0,0.0,0.0
7,50:50,sql.insert.count,3,4242.5,3569.7500184809082,4509.666666666667,3575.5246235109794
7,50:50,sql.select.count,3,14688.38888888889,12929.162536612655,14964.333333333334,12953.460129761983
7,50:50,sql.service.latency-p90,3,587975131.9589928,609667655.9531753,2244161088.45708,3478265879.3899207
7,50:50,sql.service.latency-p99,3,1793792993.1419666,2064091085.4359546,2488231823.560675,3266894422.4698653
7,50:50,sql.update.count,3,0.0,0.0,0.0,0.0
7,50:50,sys.rss,3,545838876.4444445,30283039.25806214,551070378.6666666,28187561.479238994
7,80:20,exec.latency-p90,3,173724661.17274466,22505312.02606808,173724661.17274466,22505312.02606808
7,80:20,exec.latency-p99,3,410090665.3726012,57420199.83864864,410090665.3726012,57420199.83864864
7,80:20,sql.delete.count,3,0.0,0.0,0.0,0.0
7,80:20,sql.insert.count,3,4730.277777777777,3571.539476399705,4857.666666666667,3568.6580577765267
7,80:20,sql.select.count,3,15569.22222222222,12963.605052365012,16078.333333333334,12989.439800596996
7,80:20,sql.service.latency-p90,3,256737940.65937543,35948011.26582626,256737940.65937543,35948011.265826285
7,80:20,sql.service.latency-p99,3,1149804081.3148644,966868915.2328465,1707861891.1714773,1915254050.872685
7,80:20,sql.update.count,3,0.0,0.0,0.0,0.0
7,80:20,sys.rss,3,553326592.0,27333573.593613844,561528832.0,22112346.573121905
